x generation elapsed_ms log10_p sat one_minus_r2_train one_minus_r2_val one_minus_r2_third
28980 28980 957604 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
29180 29180 964684 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
29380 29380 971789 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
29580 29580 978881 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
29780 29780 986087 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
29980 29980 993265 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
30180 30180 1000281 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
30400 30400 1009214 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
30600 30600 1018351 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
30800 30800 1030909 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
31000 31000 1042429 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
31220 31220 1055047 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
31420 31420 1062454 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
31620 31620 1069278 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
31820 31820 1076034 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
32020 32020 1083038 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
32220 32220 1090148 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
32420 32420 1099906 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
32640 32640 1111909 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
32840 32840 1123080 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
33040 33040 1134492 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
33240 33240 1143373 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
33440 33440 1150437 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
33640 33640 1157331 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
33840 33840 1164395 -1.349443564243e1 nan 4.435994184204e-7 2.128875919993e-8 7.465343456715e-3
